iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,death_rate
VGB,North America,British Virgin Islands,2020-09-08,63,0,2.286,1,0,0,2083.54,0,75.593,33.072,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30237,207.973,NA,NA,NA,NA,NA,NA,13.67,NA,NA,NA,NA,79.07,NA,0.015873015873015872
BRN,Asia,Brunei,2020-09-08,145,0,0.143,3,0,0,331.441,0,0.327,6.857,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,437483,81.347,32.4,4.591,2.382,71809.251,NA,201.285,12.79,2,30.9,NA,2.7,75.86,0.853,0.020689655172413793
BGR,Europe,Bulgaria,2020-09-08,17146,96,125.714,677,6,6.857,2467.602,13.816,18.092,97.432,0.864,0.987,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.89,6948445,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,NA,7.454,75.05,0.813,0.03948442785489327
BFA,Africa,Burkina Faso,2020-09-08,1463,11,13.286,56,1,0.143,69.989,0.526,0.636,2.679,0.048,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.15,20903278,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.423,0.03827751196172249
BDI,Africa,Burundi,2020-09-08,466,4,3,1,0,0,39.19,0.336,0.252,0.084,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11890781,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,NA,NA,6.144,0.8,61.58,0.417,0.002145922746781116
KHM,Asia,Cambodia,2020-09-08,274,0,0,0,0,0,16.389,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.74,16718971,90.672,25.6,4.412,2.385,3645.07,NA,270.892,4,2,33.7,66.229,0.8,69.82,0.582,0
CMR,Africa,Cameroon,2020-09-08,19604,0,66,414,0,0.429,738.495,0,2.486,15.596,0,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.41,26545864,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,NA,NA,2.735,1.3,59.29,0.556,0.021118139155274433
CAN,North America,Canada,2020-09-08,132142,247,456.286,9146,1,2.857,3501.178,6.544,12.09,242.328,0.026,0.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.65,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,NA,2.5,82.43,0.926,0.06921342192489897
CPV,Africa,Cape Verde,2020-09-08,4358,28,67.714,42,0,0.286,7838.299,50.361,121.791,75.541,0,0.514,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.98,555988,135.58,25.7,4.46,3.437,6222.554,NA,182.219,2.42,2.1,16.5,NA,2.1,72.98,0.654,0.009637448370812299
CYM,North America,Cayman Islands,2020-09-08,205,0,0,1,0,0,3119.294,0,0,15.216,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65720,256.496,NA,NA,NA,49903.029,NA,NA,13.22,NA,NA,NA,NA,83.92,NA,0.004878048780487805
CAF,Africa,Central African Republic,2020-09-08,4729,0,2.571,62,0,0,979.137,0,0.532,12.837,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.63,4829764,7.479,18.3,3.655,2.251,661.24,NA,435.727,6.1,NA,NA,16.603,1,53.28,0.367,0.013110594205963206
TCD,Africa,Chad,2020-09-08,1040,1,3.857,79,0,0.286,63.315,0.061,0.235,4.809,0,0.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16425859,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,NA,NA,5.818,NA,54.24,0.404,0.07596153846153846
CHL,South America,Chile,2020-09-08,424274,1764,1792.571,11652,60,51.857,22194.463,92.278,93.772,609.535,3.139,2.713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19116209,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NA,2.11,80.18,0.843,0.02746338451095283
CHN,Asia,China,2020-09-08,90079,21,23.571,4732,2,1.286,62.584,0.015,0.016,3.288,0.001,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,NA,4.34,76.91,0.752,0.05253166664816439
COL,South America,Colombia,2020-09-08,671848,5327,8097.143,21615,203,278.857,13203.811,104.691,159.133,424.799,3.99,5.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50882884,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.747,0.0321724556744978
COM,Africa,Comoros,2020-09-08,452,0,4.143,7,0,0,519.782,0,4.764,8.05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,869595,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.503,0.015486725663716814
COG,Africa,Congo,2020-09-08,4891,263,130.286,83,1,0.714,886.357,47.661,23.611,15.041,0.181,0.129,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.93,5518092,15.405,19,3.402,2.063,4881.406,37,344.094,7.2,1.7,52.3,47.964,NA,64.57,0.606,0.01696994479656512
CRI,North America,Costa Rica,2020-09-08,48780,1860,1070.429,510,32,10.571,9575.757,365.127,210.13,100.116,6.282,2.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.11,5094114,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.794,0.010455104551045511
CIV,Africa,Cote d'Ivoire,2020-09-08,18701,113,90.571,119,0,0.286,708.955,4.284,3.434,4.511,0,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.87,26378275,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,NA,NA,19.351,NA,57.78,0.492,0.0063632960804235065
