iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,death_rate
SGP,Asia,Singapore,2020-09-08,57044,22,33.143,27,0,0,9750.539,3.76,5.665,4.615,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.85,5850343,7915.731,42.4,12.922,7.049,85535.383,NA,92.243,10.99,5.2,28.3,NA,2.4,83.62,0.932,4.73318841595961e-4
SXM,North America,Sint Maarten (Dutch part),2020-09-08,516,5,5.714,19,0,0.286,12033.021,116.599,133.256,443.076,0,6.663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42882,1209.088,NA,NA,NA,36327.232,NA,NA,NA,NA,NA,NA,NA,78.95,NA,0.03682170542635659
SVK,Europe,Slovakia,2020-09-08,4636,22,102.714,37,0,0.571,849.14,4.03,18.813,6.777,0,0.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.93,5459643,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,NA,5.82,77.54,0.855,0.007981018119068163
SVN,Europe,Slovenia,2020-09-08,3190,16,42.571,130,0,0.286,1534.442,7.696,20.478,62.532,0,0.137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2078932,102.619,44.5,19.062,12.93,31400.84,NA,153.493,7.25,20.1,25,NA,4.5,81.32,0.896,0.04075235109717868
SOM,Africa,Somalia,2020-09-08,3362,0,7.429,97,0,0,211.537,0,0.467,6.103,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.56,15893219,23.5,16.8,2.731,1.496,NA,NA,365.769,6.05,NA,NA,9.831,0.9,57.4,NA,0.028851873884592504
ZAF,Africa,South Africa,2020-09-08,639362,845,1760.143,15004,115,122.143,10780.241,14.247,29.678,252.981,1.939,2.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.78,59308690,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.699,0.02346714380898458
KOR,Asia,South Korea,2020-09-08,21432,136,178.571,341,5,2.429,418.029,2.653,3.483,6.651,0.098,0.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.17,51269183,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,NA,12.27,83.03,0.903,0.015910787607316162
SSD,Africa,South Sudan,2020-09-08,2545,1,2.571,48,0,0.143,227.359,0.089,0.23,4.288,0,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.78,11193729,NA,19.2,3.441,2.032,1569.888,NA,280.775,10.43,NA,NA,NA,NA,57.85,0.388,0.018860510805500982
ESP,Europe,Spain,2020-09-08,534513,8964,9077.143,29594,78,63.143,11432.264,191.724,194.144,632.962,1.668,1.351,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.5,46754783,93.105,45.5,19.436,13.799,34272.36,1,99.403,7.17,27.4,31.4,NA,2.97,83.56,0.891,0.055366286694617343
LKA,Asia,Sri Lanka,2020-09-08,3123,0,10.571,12,0,0,145.844,0,0.494,0.56,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.93,21413250,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27,NA,3.6,76.98,0.77,0.0038424591738712775
SDN,Africa,Sudan,2020-09-08,13437,30,35.429,833,1,1.429,306.436,0.684,0.808,18.997,0.023,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.96,43849269,23.258,19.7,3.548,2.034,4466.507,NA,431.388,15.67,NA,NA,23.437,0.8,65.31,0.502,0.061993004390861056
SUR,South America,Suriname,2020-09-08,4360,14,46.571,91,6,2.857,7432.232,23.865,79.388,155.122,10.228,4.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.3,586634,3.612,29.6,6.933,4.229,13767.119,NA,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.72,0.020871559633027524
SWZ,Africa,Swaziland,2020-09-08,4884,31,43.857,94,0,0.429,4209.75,26.72,37.803,81.023,0,0.369,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.81,1160164,79.492,21.5,3.163,1.845,7738.975,NA,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.588,0.019246519246519246
SWE,Europe,Sweden,2020-09-08,85753,185,193.714,5851,2,1.714,8491.01,18.318,19.181,579.349,0.198,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.04,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,NA,2.22,82.8,0.933,0.06823084906650496
CHE,Europe,Switzerland,2020-09-08,44484,191,345,1734,2,1.286,5139.915,22.069,39.863,200.355,0.231,0.149,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.06,8654618,214.243,43.1,18.436,12.644,57410.166,NA,99.739,5.59,22.6,28.9,NA,4.53,83.78,0.944,0.03898030752630159
SYR,Asia,Syria,2020-09-08,3229,58,66.286,137,3,3.571,184.507,3.314,3.788,7.828,0.171,0.204,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.11,17500657,NA,21.7,NA,2.577,NA,NA,376.264,NA,NA,NA,70.598,1.5,72.7,0.536,0.04242799628367916
TWN,Asia,Taiwan,2020-09-08,494,1,0.857,7,0,0,20.742,0.042,0.036,0.294,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,23816775,NA,42.2,NA,8.353,NA,NA,103.957,NA,NA,NA,NA,NA,80.46,NA,0.01417004048582996
TJK,Asia,Tajikistan,2020-09-08,8824,32,34.429,70,0,0.286,925.176,3.355,3.61,7.339,0,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9537642,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,NA,NA,72.704,4.8,71.1,0.65,0.007932910244786946
TZA,Africa,Tanzania,2020-09-08,509,0,0,21,0,0,8.521,0,0,0.352,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,59734213,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.538,0.0412573673870334
THA,Asia,Thailand,2020-09-08,3446,1,4.143,58,0,0,49.37,0.014,0.059,0.831,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69799978,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.755,0.016831108531630876
TLS,Asia,Timor,2020-09-08,27,0,0,0,0,0,20.479,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.85,1318442,87.176,18,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.625,0
TGO,Africa,Togo,2020-09-08,1493,5,13.286,33,1,0.714,180.342,0.604,1.605,3.986,0.121,0.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.07,8278737,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.503,0.022103148024112524
TTO,North America,Trinidad and Tobago,2020-09-08,2277,27,74,37,3,2.143,1627.02,19.293,52.876,26.438,2.144,1.531,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.56,1399491,266.886,36.2,10.014,5.819,28763.071,NA,228.467,10.97,NA,NA,89.443,3,73.51,0.784,0.016249451032059728
TUN,Africa,Tunisia,2020-09-08,5124,348,188.714,93,0,2.286,433.553,29.445,15.968,7.869,0,0.193,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.85,11818618,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.735,0.018149882903981264
TUR,Asia,Turkey,2020-09-08,281509,1703,1625.143,6730,57,51.429,3337.824,20.192,19.269,79.797,0.676,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.22,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,NA,2.81,77.69,0.791,0.023906873314885137
TCA,North America,Turks and Caicos Islands,2020-09-08,599,1,13,5,0,0.143,15470.84,25.828,335.761,129.139,0,3.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38718,37.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.22,NA,0.008347245409015025
UGA,Africa,Uganda,2020-09-08,3776,109,114.857,44,3,1.714,82.552,2.383,2.511,0.962,0.066,0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.48,45741000,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.516,0.011652542372881356
UKR,Europe,Ukraine,2020-09-08,138068,2174,2407.571,2877,66,45.714,3157.012,49.71,55.051,65.784,1.509,1.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.5,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,NA,8.8,72.06,0.751,0.02083755830460353
ARE,Asia,United Arab Emirates,2020-09-08,74454,470,603.286,390,2,0.857,7527.906,47.521,60.997,39.432,0.202,0.087,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.11,9890400,112.442,34,1.144,0.526,67293.483,NA,317.84,17.26,1.2,37.4,NA,1.2,77.97,0.863,0.00523813361270046
GBR,Europe,United Kingdom,2020-09-08,350100,2948,2032.429,41554,3,7.571,5157.175,43.426,29.939,612.114,0.044,0.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.5,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922,0.11869180234218794
USA,North America,United States,2020-09-08,6300671,24250,38522.571,189208,267,801.429,19035.108,73.262,116.381,571.621,0.807,2.421,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.13,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.924,0.030029817459124593
VIR,North America,United States Virgin Islands,2020-09-08,1190,9,7.286,17,0,0.286,11395.957,86.188,69.771,162.799,0,2.736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104423,306.48,42.2,18.601,10.799,NA,NA,273.67,12.26,NA,NA,NA,NA,80.58,NA,0.014285714285714285
URY,South America,Uruguay,2020-09-08,1693,14,14,45,0,0.143,487.373,4.03,4.03,12.954,0,0.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.63,3473727,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14,19.9,NA,2.8,77.91,0.804,0.026580035440047254
UZB,Asia,Uzbekistan,2020-09-08,44107,332,301.857,356,6,4.857,1317.839,9.92,9.019,10.637,0.179,0.145,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.52,33469199,76.134,28.2,4.469,2.873,6253.104,NA,724.417,7.57,1.3,24.7,NA,4,71.72,0.71,0.008071281202530211
VAT,Europe,Vatican,2020-09-08,12,0,0,0,0,0,14833.127,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.12,NA,0
VEN,South America,Venezuela,2020-09-08,54350,1061,1211.714,436,8,7.857,1911.313,37.312,42.612,15.333,0.281,0.276,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.41,28435943,36.253,29,6.614,3.915,16745.022,NA,204.85,6.47,NA,NA,NA,0.8,72.06,0.761,0.008022079116835326
VNM,Asia,Vietnam,2020-09-08,1049,0,0.714,35,0,0.143,10.777,0,0.007,0.36,0,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.54,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.694,0.03336510962821735
ESH,Africa,Western Sahara,2020-09-08,766,0,0,1,0,0,1282.373,0,0,1.674,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,597330,NA,28.4,NA,1.38,NA,NA,NA,NA,NA,NA,NA,NA,70.26,NA,0.0013054830287206266
YEM,Asia,Yemen,2020-09-08,1991,4,4.714,573,1,1,66.754,0.134,0.158,19.211,0.034,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.48,29825968,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.452,0.2877950778503265
ZMB,Africa,Zambia,2020-09-08,12836,60,105.571,295,0,1,698.218,3.264,5.743,16.047,0,0.054,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.93,18383956,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2,63.89,0.588,0.02298223745715176
ZWE,Africa,Zimbabwe,2020-09-08,7298,321,114.429,210,3,1.143,491.02,21.597,7.699,14.129,0.202,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.56,14862927,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.535,0.02877500685119211
